cond,utt_id,speaker,wer,sub,del,ins,cer,hyp
indextts,1089-134691-0004,1089,0.0,0.0,0.0,0.0,0.0,"Pride after satisfaction uplifted him like long, slow waves."
cosyvoice3,1089-134691-0004,1089,0.0,0.0,0.0,0.0,0.0,"Pride after satisfaction uplifted him like long, slow waves."
real,1089-134691-0025,1089,0.0,0.0,0.0,0.0,0.0,"A moment before, the ghost of the ancient kingdom of the Danes had looked forth through the vesture of the haze-wrapped city."
f5tts,1089-134691-0025,1089,0.0,0.0,0.0,0.0,0.0,"A moment before the ghost of the ancient kingdom of the Danes had looked forth through the vesture of the haze-wrapped city,"
xtts,1089-134691-0025,1089,0.0,0.0,0.0,0.0,0.0,a moment before the ghost of the ancient kingdom of the Danes had looked forth  through the vesture of the haze-wrapped city.
chatterbox,1089-134691-0025,1089,0.0,0.0,0.0,0.0,0.0,A moment before the ghost of the ancient kingdom of the Danes had looked forth through the  vesture of the haze-wrapped city.
indextts,1089-134691-0025,1089,0.0,0.0,0.0,0.0,0.0,"a moment before the ghost of the ancient kingdom of the Danes, had looked forth through the vesture  of the haze-wrapped city."
cosyvoice3,1089-134691-0025,1089,0.0,0.0,0.0,0.0,0.0,"A moment before, the ghost of the ancient kingdom of the Danes had looked forth through the vesture of the haze-wrapped city."
real,1089-134686-0028,1089,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0373831775700934,"The retreat will begin on Wednesday afternoon in honor of St. Francis Xavier, whose feast day is Saturday."
f5tts,1089-134686-0028,1089,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0373831775700934,"The retreat will begin on Wednesday afternoon in honor of St. Francis Xavier, whose feast day is Saturday."
xtts,1089-134686-0028,1089,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0373831775700934,"The retreat will begin on Wednesday afternoon in honor of St. Francis Xavier, whose feast  day is Saturday."
chatterbox,1089-134686-0028,1089,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0373831775700934,"The retreat will begin on Wednesday afternoon in honor of St. Francis Xavier, whose feast day is Saturday."
indextts,1089-134686-0028,1089,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0373831775700934,"The retreat will begin on Wednesday afternoon in honor of St. Francis Xavier, whose feast day is Saturday."
cosyvoice3,1089-134686-0028,1089,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0373831775700934,"The retreat will begin on Wednesday afternoon in honor of St. Francis Xavier, whose feast day is Saturday."
real,1089-134686-0026,1089,0.0,0.0,0.0,0.0,0.0,The rector did not ask for a catechism to hear the lesson from.
f5tts,1089-134686-0026,1089,0.0,0.0,0.0,0.0,0.0,The rector did not ask for a catechism to hear the lesson from.
xtts,1089-134686-0026,1089,0.0,0.0,0.0,0.0,0.0,The rector did not ask for a catechism to hear the lesson from.
chatterbox,1089-134686-0026,1089,0.0,0.0,0.0,0.0,0.0,The rector did not ask for a catechism to hear the lesson from.
indextts,1089-134686-0026,1089,0.0,0.0,0.0,0.0,0.0,The rector did not ask for a catechism to hear the lesson from.
cosyvoice3,1089-134686-0026,1089,0.0,0.0,0.0,0.0,0.0,"The rector did not ask for a catechism to hear the lesson from,"
real,1089-134686-0021,1089,0.0,0.0,0.0,0.0,0.0,"If a layman, in giving baptism, pour the water before saying the words, is the child baptized?"
f5tts,1089-134686-0021,1089,0.0,0.0,0.0,0.0,0.0,"If a layman, in giving baptism, pour the water before saying the words,  Is the child baptized?"
xtts,1089-134686-0021,1089,0.0,0.0,0.0,0.0,0.0,If a layman in giving baptism pour the water before saying the words is the child baptized.
chatterbox,1089-134686-0021,1089,0.0,0.0,0.0,0.0,0.0,"If a layman, in giving baptism, pour the water before saying the words, Is the child baptized?"
indextts,1089-134686-0021,1089,0.0,0.0,0.0,0.0,0.0,"If a layman in giving baptism pour the water before saying the words, Is the child baptized?"
cosyvoice3,1089-134686-0021,1089,0.0588235294117647,0.0,0.0,0.0588235294117647,0.0666666666666666,"If a layman, quote, in giving baptism pour the water before saying the words, is the child baptized."
real,672-122797-0007,672,0.1428571428571428,0.0714285714285714,0.0714285714285714,0.0,0.0133333333333333,in autumn the woodcutters always came and felled some of the largest trees
f5tts,672-122797-0007,672,0.1428571428571428,0.0714285714285714,0.0714285714285714,0.0,0.0133333333333333,In autumn the woodcutters always came and felled some of the largest trees.
xtts,672-122797-0007,672,0.1428571428571428,0.0714285714285714,0.0714285714285714,0.0,0.0133333333333333,"In autumn, the woodcutters always came and felled some of the largest trees."
chatterbox,672-122797-0007,672,0.1428571428571428,0.0714285714285714,0.0714285714285714,0.0,0.0133333333333333,"In autumn, the woodcutters always came and felled some of the largest trees."
indextts,672-122797-0007,672,0.1428571428571428,0.0714285714285714,0.0714285714285714,0.0,0.0133333333333333,In autumn the woodcutters always came and felled some of the largest trees.
cosyvoice3,672-122797-0007,672,0.1428571428571428,0.0714285714285714,0.0714285714285714,0.0,0.0133333333333333,in autumn the woodcutters always came and felled some of the largest trees
real,672-122797-0043,672,0.0,0.0,0.0,0.0,0.0,what's the meaning of this thought the tree
f5tts,672-122797-0043,672,0.0,0.0,0.0,0.0,0.0,What's the meaning of this thought the tree?
xtts,672-122797-0043,672,0.0,0.0,0.0,0.0,0.0,"What's the meaning of this thought, the tree?"
chatterbox,672-122797-0043,672,0.0,0.0,0.0,0.0,0.0,"What's the meaning of this thought, the tree?"
indextts,672-122797-0043,672,0.25,0.125,0.0,0.125,0.0465116279069767,What is the meaning of this thought the tree?
cosyvoice3,672-122797-0043,672,0.0,0.0,0.0,0.0,0.0,what's the meaning of this thought the tree
real,672-122797-0000,672,0.0,0.0,0.0,0.0,0.0,Out in the woods stood a nice little fir tree.
f5tts,672-122797-0000,672,0.0,0.0,0.0,0.0,0.0,Out in the woods stood a nice little fir tree.
xtts,672-122797-0000,672,0.0,0.0,0.0,0.0,0.0,Out in the woods stood a nice little fir tree.
chatterbox,672-122797-0000,672,0.0,0.0,0.0,0.0,0.0,Out in the woods stood a nice little fir tree.
indextts,672-122797-0000,672,0.0,0.0,0.0,0.0,0.0,Out in the woods stood a nice little fir tree.
cosyvoice3,672-122797-0000,672,0.0,0.0,0.0,0.0,0.0,Out in the woods stood a nice little fir tree.
real,672-122797-0038,672,0.0952380952380952,0.0476190476190476,0.0476190476190476,0.0,0.0095238095238095,thought the fir tree and believed it all because the man who told the story was so good-looking well well
f5tts,672-122797-0038,672,0.2857142857142857,0.1428571428571428,0.1428571428571428,0.0,0.0285714285714285,"thought the fir-tree and believed it all, because the man who told the story was so good-looking well-well."
xtts,672-122797-0038,672,0.0952380952380952,0.0476190476190476,0.0476190476190476,0.0,0.0095238095238095,"thought the fir tree and believed it all,  because the man who told the story was so good-looking, well, well."
chatterbox,672-122797-0038,672,0.1904761904761904,0.0952380952380952,0.0952380952380952,0.0,0.019047619047619,thought the fir-tree and believed it all because the man who told the story was so good-looking well well
indextts,672-122797-0038,672,0.2857142857142857,0.1428571428571428,0.1428571428571428,0.0,0.0285714285714285,"thought the fir-tree, and believed it all because the man who told the story was so good-looking well-well."
cosyvoice3,672-122797-0038,672,0.0952380952380952,0.0476190476190476,0.0476190476190476,0.0,0.0095238095238095,thought the fir tree and believed it all because the man who told the story was so good-looking well well
real,672-122797-0072,672,0.0,0.0,0.0,0.0,0.0,and the gardener's boy chopped the tree into small pieces there was a whole heap lying there
f5tts,672-122797-0072,672,0.0,0.0,0.0,0.0,0.0,"and the gardener's boy chopped the tree into small pieces, there was a whole heap lying there."
xtts,672-122797-0072,672,0.0,0.0,0.0,0.0,0.0,and the gardener's boy chopped the tree into small pieces.  There was a whole heap lying there.
chatterbox,672-122797-0072,672,0.0,0.0,0.0,0.0,0.0,and the gardener's boy chopped the tree into small pieces there was a whole heap lying there
indextts,672-122797-0072,672,0.0,0.0,0.0,0.0,0.0,and the gardener's boy chopped the tree into small pieces.  There was a whole heap lying there.
cosyvoice3,672-122797-0072,672,0.0,0.0,0.0,0.0,0.0,and the gardener's boy chopped the tree into small pieces there was a whole heap lying there
real,672-122797-0068,672,0.0,0.0,0.0,0.0,0.0,but it was not the fir tree that they meant.
f5tts,672-122797-0068,672,0.0,0.0,0.0,0.0,0.0,But it was not the fir tree that they meant.
xtts,672-122797-0068,672,0.0,0.0,0.0,0.0,0.0,but it was not the fir tree that they meant.
chatterbox,672-122797-0068,672,0.0,0.0,0.0,0.0,0.0,But it was not the fir tree that they meant.
indextts,672-122797-0068,672,0.0,0.0,0.0,0.0,0.0,but it was not the fir tree that they meant.
cosyvoice3,672-122797-0068,672,0.0,0.0,0.0,0.0,0.0,But it was not the fir tree that they meant.
real,672-122797-0040,672,0.0,0.0,0.0,0.0,0.0,And the whole night the tree stood still and in deep thought.
f5tts,672-122797-0040,672,0.0,0.0,0.0,0.0,0.0,And the whole night the tree stood still and in deep thought.
xtts,672-122797-0040,672,0.0,0.0,0.0,0.0,0.0,And the whole night the tree stood still and in deep thought.
chatterbox,672-122797-0040,672,0.0,0.0,0.0,0.0,0.0,"And the whole night the tree stood still, and in deep thought"
indextts,672-122797-0040,672,0.0,0.0,0.0,0.0,0.0,and the whole night the tree stood still and in deep thought.
cosyvoice3,672-122797-0040,672,0.0,0.0,0.0,0.0,0.0,"And the whole night the tree stood still, and in deep thought."
real,672-122797-0059,672,0.0,0.0,0.0,0.0,0.0,only that one answered the tree
f5tts,672-122797-0059,672,0.0,0.0,0.0,0.0,0.0,Only that one answered the tree.
xtts,672-122797-0059,672,0.0,0.0,0.0,0.0,0.0,Only that one answered the tree.
chatterbox,672-122797-0059,672,0.0,0.0,0.0,0.0,0.0,Only that one answered the tree.
indextts,672-122797-0059,672,0.0,0.0,0.0,0.0,0.0,Only that one answered the tree.
cosyvoice3,672-122797-0059,672,0.0,0.0,0.0,0.0,0.0,only that one answered the tree
real,2830-3980-0049,2830,0.0,0.0,0.0,0.0,0.0,"embrace him, and forget about the nature of God."
f5tts,2830-3980-0049,2830,0.0,0.0,0.0,0.0,0.0,Embrace him and forget about the nature of God.
xtts,2830-3980-0049,2830,0.0,0.0,0.0,0.0,0.0,Embrace him and forget about the nature of God.
chatterbox,2830-3980-0049,2830,0.0,0.0,0.0,0.0,0.0,Embrace him and forget about the nature of God.
indextts,2830-3980-0049,2830,0.0,0.0,0.0,0.0,0.0,Embrace him and forget about the nature of God.
cosyvoice3,2830-3980-0049,2830,0.0,0.0,0.0,0.0,0.0,Embrace him and forget about the nature of God.
real,2830-3979-0012,2830,0.0,0.0,0.0,0.0,0.0,The word of our God shall stand forever.
f5tts,2830-3979-0012,2830,0.0,0.0,0.0,0.0,0.0,The word of our God shall stand forever.
xtts,2830-3979-0012,2830,0.0,0.0,0.0,0.0,0.0,The word of our God shall stand forever.
chatterbox,2830-3979-0012,2830,0.0,0.0,0.0,0.0,0.0,The word of our God shall stand forever.
indextts,2830-3979-0012,2830,0.0,0.0,0.0,0.0,0.0,the word of our God shall stand forever.
cosyvoice3,2830-3979-0012,2830,0.0,0.0,0.0,0.0,0.0,The word of our God shall stand forever.
real,2830-3980-0004,2830,0.0,0.0,0.0,0.0,0.0,"Indeed, he persecuted the Church of Christ for a long time."
f5tts,2830-3980-0004,2830,0.0,0.0,0.0,0.0,0.0,"Indeed, he persecuted the Church of Christ for a long time."
xtts,2830-3980-0004,2830,0.0,0.0,0.0,0.0,0.0,"Indeed, he persecuted the Church of Christ for a long time."
chatterbox,2830-3980-0004,2830,0.0,0.0,0.0,0.0,0.0,"Indeed, he persecuted the Church of Christ for a long time."
indextts,2830-3980-0004,2830,0.0,0.0,0.0,0.0,0.0,"Indeed, he persecuted the Church of Christ for a long time."
cosyvoice3,2830-3980-0004,2830,0.0,0.0,0.0,0.0,0.0,"Indeed, he persecuted the Church of Christ for a long time."
real,2830-3980-0069,2830,0.0,0.0,0.0,0.0,0.0,"The vicious character of sin is brought out by the words,  who gave himself for our sins."
f5tts,2830-3980-0069,2830,0.0,0.0,0.0,0.0,0.0,The vicious character of sin is brought out by the words who gave himself for our sins.
xtts,2830-3980-0069,2830,0.0,0.0,0.0,0.0,0.0,The vicious character of sin is brought out by the words who gave himself for our sins.
chatterbox,2830-3980-0069,2830,0.0,0.0,0.0,0.0,0.0,The vicious character of sin is brought out by the words who gave himself for our sins.
indextts,2830-3980-0069,2830,0.0,0.0,0.0,0.0,0.0,The vicious character of sin is brought out by the words who gave himself for our sins.
cosyvoice3,2830-3980-0069,2830,0.0,0.0,0.0,0.0,0.0,"The vicious character of sin is brought out by the words,  Who gave himself for our sins."
real,2830-3980-0012,2830,0.0,0.0,0.0,0.0,0.0,the most they could claim is that they were sent by others
f5tts,2830-3980-0012,2830,0.0,0.0,0.0,0.0,0.0,The most they could claim is that they were sent by others.
xtts,2830-3980-0012,2830,0.0,0.0,0.0,0.0,0.0,The most they could claim is that they were sent by others.
chatterbox,2830-3980-0012,2830,0.0833333333333333,0.0,0.0833333333333333,0.0,0.0689655172413793,Most they could claim is that they were sent by others.
indextts,2830-3980-0012,2830,0.0,0.0,0.0,0.0,0.0,The most they could claim is that they were sent by others.
cosyvoice3,2830-3980-0012,2830,0.0,0.0,0.0,0.0,0.0,The most they could claim is that they were sent by others.
real,2830-3980-0061,2830,0.0,0.0,0.0,0.0,0.0,not gold or silver or paschal lambs or an angel but himself what for
f5tts,2830-3980-0061,2830,0.0,0.0,0.0,0.0,0.0,"Not gold or silver or paschal lambs, or an angel, but himself what for?"
xtts,2830-3980-0061,2830,0.1428571428571428,0.0714285714285714,0.0,0.0714285714285714,0.0588235294117647,"Not gold, or silver, or pasha, or lambs, or an angel, but himself, what for?"
chatterbox,2830-3980-0061,2830,0.0714285714285714,0.0714285714285714,0.0,0.0,0.0294117647058823,"Not gold, or silver, or paschal lands, or an angel, but himself, what for?"
indextts,2830-3980-0061,2830,0.0,0.0,0.0,0.0,0.0,"Not gold or silver or paschal lambs or an angel, but himself.  What for?"
cosyvoice3,2830-3980-0061,2830,0.0,0.0,0.0,0.0,0.0,"Not gold or silver, or paschal lambs or an angel, but himself. What for?"
real,2830-3980-0017,2830,0.0,0.0,0.0,0.0,0.0,"When I was a young man, I thought Paul was making too much of his call."
f5tts,2830-3980-0017,2830,0.0,0.0,0.0,0.0,0.0,"When I was a young man, I thought Paul was making too much of his call."
xtts,2830-3980-0017,2830,0.0,0.0,0.0,0.0,0.0,"When I was a young man, I thought Paul was making too much of his call."
chatterbox,2830-3980-0017,2830,0.0,0.0,0.0,0.0,0.0,"When I was a young man, I thought Paul was making too much of his call."
indextts,2830-3980-0017,2830,0.0,0.0,0.0,0.0,0.0,When I was a young man I thought Paul was making too much of his call.
cosyvoice3,2830-3980-0017,2830,0.0,0.0,0.0,0.0,0.0,when i was a young man i thought paul was making too much of his call
real,2830-3980-0022,2830,0.2857142857142857,0.2857142857142857,0.0,0.0,0.1162790697674418,The claw seemed superfluous on first sight.
f5tts,2830-3980-0022,2830,0.0,0.0,0.0,0.0,0.0,The clause seems superfluous on first sight.
xtts,2830-3980-0022,2830,0.2857142857142857,0.2857142857142857,0.0,0.0,0.1162790697674418,The claw seemed superfluous on first sight.
chatterbox,2830-3980-0022,2830,0.2857142857142857,0.2857142857142857,0.0,0.0,0.0697674418604651,The claws seem superfluous on first sight.
indextts,2830-3980-0022,2830,0.2857142857142857,0.2857142857142857,0.0,0.0,0.0930232558139534,The claws seemed superfluous on first sight.
cosyvoice3,2830-3980-0022,2830,0.2857142857142857,0.2857142857142857,0.0,0.0,0.0697674418604651,The claws seem superfluous on first sight.
real,2830-3980-0037,2830,0.0588235294117647,0.0,0.0588235294117647,0.0,0.0681818181818181,"So much for the title of the epistle, now follows the greeting of the apostle.  Verse 3"
f5tts,2830-3980-0037,2830,0.0588235294117647,0.0,0.0588235294117647,0.0,0.0681818181818181,"So much for the title of the epistle. Now follows the greeting of the Apostle, verse 3."
xtts,2830-3980-0037,2830,0.0588235294117647,0.0,0.0588235294117647,0.0,0.0681818181818181,"so much for. The title of the epistle now follows, the greeting of the apostle, verse 3."
chatterbox,2830-3980-0037,2830,0.0588235294117647,0.0,0.0588235294117647,0.0,0.0681818181818181,"So much for the title of the epistle, now follows the greeting of the apostle, verse 3."
indextts,2830-3980-0037,2830,0.0588235294117647,0.0,0.0588235294117647,0.0,0.0681818181818181,"so much for the title of the epistle. Now follows the greeting of the apostle, verse 3."
cosyvoice3,2830-3980-0037,2830,0.0,0.0,0.0,0.0,0.0,so much for the title of the epistle now follows the greeting of the apostle verse three
real,4992-41797-0016,4992,0.125,0.125,0.0,0.0,0.02,They couldn't run or move. They're just pasteboard.
f5tts,4992-41797-0016,4992,0.0,0.0,0.0,0.0,0.0,"They couldn't run nor move, they're just pasteboard."
xtts,4992-41797-0016,4992,0.0,0.0,0.0,0.0,0.0,"They couldn't run nor move, they're just pasteboard."
chatterbox,4992-41797-0016,4992,0.25,0.125,0.0,0.125,0.1,They couldn't run nor move. They're just pace bored.
indextts,4992-41797-0016,4992,0.25,0.125,0.0,0.125,0.1,They couldn't run nor move. They're just pace bored.
cosyvoice3,4992-41797-0016,4992,0.25,0.125,0.0,0.125,0.06,They couldn't run nor move. They're just pace board.
real,4992-41797-0013,4992,0.0,0.0,0.0,0.0,0.0,"She makes effort after effort, trembling with eagerness,  and when she fails to reproduce what she sees,  she works herself into a frenzy of grief and disappointment."
f5tts,4992-41797-0013,4992,0.0,0.0,0.0,0.0,0.0,"She makes effort after effort, trembling with eagerness, and when she fails to reproduce  what she sees she works herself into a frenzy of grief and disappointment."
xtts,4992-41797-0013,4992,0.0,0.0,0.0,0.0,0.0,"She makes effort after effort, trembling with eagerness,  and when she fails to reproduce what she sees,  she works herself into a frenzy of grief and disappointment."
chatterbox,4992-41797-0013,4992,0.0,0.0,0.0,0.0,0.0,she makes effort after effort trembling with eagerness and when she fails to reproduce what she sees she works herself into a frenzy of grief and disappointment
indextts,4992-41797-0013,4992,0.0,0.0,0.0,0.0,0.0,"She makes effort after effort, trembling with eagerness, and when she fails to reproduce what  she sees, she works herself into a frenzy of grief and disappointment."
cosyvoice3,4992-41797-0013,4992,0.0,0.0,0.0,0.0,0.0,she makes effort after effort trembling with eagerness and when she fails to reproduce what she sees she works herself into a frenzy of grief and disappointment
real,4992-23283-0009,4992,0.0833333333333333,0.0416666666666666,0.0,0.0416666666666666,0.04,oh my lord cried miss woodley with a most forcible accent you are the last person on earth she would pardon me for intrusting  you
f5tts,4992-23283-0009,4992,0.0,0.0,0.0,0.0,0.0,"Oh, my Lord, cried Miss Woodley, with a most forcible accent,  you are the last person on earth she would pardon me for entrusting."
xtts,4992-23283-0009,4992,0.0416666666666666,0.0416666666666666,0.0,0.0,0.024,"Oh, my lord, cried Miss Woodley with the most forcible accent,  you are the last person on earth she would pardon me for entrusting."
chatterbox,4992-23283-0009,4992,0.0416666666666666,0.0416666666666666,0.0,0.0,0.024,oh my lord cried miss woodley with the most forcible accent you are the last person on earth she would pardon me for entrusting
indextts,4992-23283-0009,4992,0.0,0.0,0.0,0.0,0.0,"Oh, my Lord! cried Miss Woodley, with a most forcible accent.  You are the last person on earth she would pardon me for entrusting."
cosyvoice3,4992-23283-0009,4992,0.0,0.0,0.0,0.0,0.0,oh my lord cried miss woodley with a most forcible accent you are the last person on earth she would pardon me for entrusting
real,4992-41797-0004,4992,0.0476190476190476,0.0476190476190476,0.0,0.0,0.010204081632653,i swain to man he ejaculated if you don't work hard you can't keep up with the times doctor of laws
f5tts,4992-41797-0004,4992,0.0,0.0,0.0,0.0,0.0,"I swan to man he ejaculated, if you don't work hard you can't keep up with the times doctor of laws."
xtts,4992-41797-0004,4992,0.0476190476190476,0.0476190476190476,0.0,0.0,0.010204081632653,"I swan to man, he ejaculated.  If you don't work hard, you can't keep up with the times, Doctor of Law."
chatterbox,4992-41797-0004,4992,0.0,0.0,0.0,0.0,0.0,i swan to man he ejaculated if you don't work hard you can't keep up with the times doctor of laws
indextts,4992-41797-0004,4992,0.0,0.0,0.0,0.0,0.0,"I swan to man he ejaculated, if you don't work hard,  you can't keep up with the times doctor of laws."
cosyvoice3,4992-41797-0004,4992,0.0,0.0,0.0,0.0,0.0,i swan to man he ejaculated if you don't work hard you can't keep up with the times doctor of laws
real,4992-41797-0011,4992,0.0,0.0,0.0,0.0,0.0,whatever appealed to her sense of beauty was straightway transferred to paper or canvas
f5tts,4992-41797-0011,4992,0.0,0.0,0.0,0.0,0.0,Whatever appealed to her sense of beauty was straightway transferred to paper or canvas.
xtts,4992-41797-0011,4992,0.0,0.0,0.0,0.0,0.0,Whatever appealed to her sense of beauty was straightway transferred to paper or canvas.
chatterbox,4992-41797-0011,4992,0.0,0.0,0.0,0.0,0.0,Whatever appealed to her sense of beauty was straightway transferred to paper or canvas.
indextts,4992-41797-0011,4992,0.0,0.0,0.0,0.0,0.0,Whatever appealed to her sense of beauty was straightway transferred to paper or canvas.
cosyvoice3,4992-41797-0011,4992,0.0,0.0,0.0,0.0,0.0,Whatever appealed to her sense of beauty was straightway transferred to paper or canvas.
real,4992-41797-0015,4992,0.0,0.0,0.0,0.0,0.0,cyril there must be some better way of doing i just draw the outline of an animal and then i put hairs or feathers on it they have no bodies
f5tts,4992-41797-0015,4992,0.0,0.0,0.0,0.0,0.0,"Cyril there must be some better way of doing, I just draw the outline of an animal and then I put hairs or feathers on it they have no bodies."
xtts,4992-41797-0015,4992,0.0333333333333333,0.0,0.0333333333333333,0.0,0.0428571428571428,There must be some better way of doing I just draw the outline of an animal and then I put hairs or feathers on it  They have no bodies
chatterbox,4992-41797-0015,4992,0.0,0.0,0.0,0.0,0.0,cyril there must be some better way of doing i just draw the outline of an animal and then i put hairs or feathers on it they have no bodies
indextts,4992-41797-0015,4992,0.0,0.0,0.0,0.0,0.0,"Cyril, there must be some better way of doing.  I just draw the outline of an animal, and then I put hairs or feathers on it.  They have no bodies."
cosyvoice3,4992-41797-0015,4992,0.0,0.0,0.0,0.0,0.0,cyril there must be some better way of doing i just draw the outline of an animal and then i put hairs or feathers on it they have no bodies
real,4992-23283-0002,4992,0.1428571428571428,0.1428571428571428,0.0,0.0,0.1052631578947368,said mrs horton a few minutes after
f5tts,4992-23283-0002,4992,0.1428571428571428,0.1428571428571428,0.0,0.0,0.1052631578947368,said Mrs. Horton a few minutes after.
xtts,4992-23283-0002,4992,0.2857142857142857,0.1428571428571428,0.0,0.1428571428571428,0.2368421052631578,said Mrs. Horton a few minutes after.  I'll
chatterbox,4992-23283-0002,4992,0.1428571428571428,0.1428571428571428,0.0,0.0,0.1052631578947368,said Mrs. Horton a few minutes after.
indextts,4992-23283-0002,4992,0.1428571428571428,0.1428571428571428,0.0,0.0,0.1052631578947368,said Mrs. Horton a few minutes after.
cosyvoice3,4992-23283-0002,4992,0.1428571428571428,0.1428571428571428,0.0,0.0,0.1052631578947368,"said Mrs. Horton, a few minutes after."
real,4992-23283-0010,4992,0.0,0.0,0.0,0.0,0.0,but in such a case miss milner's election of a husband shall not direct mine
f5tts,4992-23283-0010,4992,0.0,0.0,0.0,0.0,0.0,But in such a case Miss Milner's election of a husband shall not direct mine.
xtts,4992-23283-0010,4992,0.0,0.0,0.0,0.0,0.0,but in such a case Miss Milner's election of a husband shall not direct mine.
chatterbox,4992-23283-0010,4992,0.0,0.0,0.0,0.0,0.0,But in such a case Miss Milner's election of a husband shall not direct mine.
indextts,4992-23283-0010,4992,0.0,0.0,0.0,0.0,0.0,But in such a case Miss Milner's election of a husband shall not direct mine.
cosyvoice3,4992-23283-0010,4992,0.0,0.0,0.0,0.0,0.0,But in such a case Miss Milner's election of a husband shall not direct mine.
real,4992-41806-0009,4992,0.0,0.0,0.0,0.0,0.0,exclaimed bill harmon to his wife as they went through the lighted hall
f5tts,4992-41806-0009,4992,0.0,0.0,0.0,0.0,0.0,exclaimed Bill Harmon to his wife as they went through the lighted hall.
xtts,4992-41806-0009,4992,0.0,0.0,0.0,0.0,0.0,"exclaimed Bill Harmon to his wife, as they went through the lighted hall."
chatterbox,4992-41806-0009,4992,0.0,0.0,0.0,0.0,0.0,exclaimed bill harmon to his wife as they went through the lighted hall
